id,time,y
1,1,182.08951
1,6,193.08202
1,11,203.89295
1,16,214.61277
1,21,228.92135
1,26,238.11657
1,31,246.71741
1,36,259.19755
1,41,271.11475
1,46,281.04431
2,1,117.53747
2,6,122.28462
2,11,123.56535
2,16,127.49909
2,21,132.15316
2,26,135.15371
2,31,141.69197
2,36,142.97958
2,41,146.94728
2,46,152.42907
3,1,160.04664
3,6,166.38777
3,11,175.3548
3,16,181.25616
3,21,190.71992
3,26,198.52039
3,31,207.49577
3,36,213.44369
3,41,222.96692
3,46,228.55547
4,1,118.93731
4,6,118.3023
4,11,120.4935
4,16,122.76267
4,21,121.97996
4,26,124.76705
4,31,126.64935
4,36,125.93415
4,41,127.80606
4,46,128.97004
5,1,154.57008
5,6,153.8577
5,11,156.38487
5,16,158.4722
5,21,161.52693
5,26,164.36449
5,31,165.21583
5,36,167.92803
5,41,169.30499
5,46,171.33185
6,1,178.0639
6,6,180.45701
6,11,180.91323
6,16,181.30392
6,21,183.90072
6,26,186.44159
6,31,187.60624
6,36,185.8443
6,41,189.58584
6,46,189.37905
7,1,117.51705
7,6,121.36754
7,11,129.456
7,16,134.73172
7,21,140.83411
7,26,146.67586
7,31,151.41793
7,36,157.52614
7,41,161.85419
7,46,170.38568
8,1,189.992
8,6,192.22364
8,11,193.82399
8,16,196.80146
8,21,198.50331
8,26,201.48185
8,31,204.60772
8,36,208.44531
8,41,209.89138
8,46,213.96808
9,1,242.23018
9,6,248.4993
9,11,255.22469
9,16,264.13833
9,21,272.34826
9,26,278.46251
9,31,285.60973
9,36,293.42236
9,41,298.31933
9,46,307.23876
10,1,181.30536
10,6,187.11657
10,11,189.94837
10,16,194.40027
10,21,200.6875
10,26,206.05059
10,31,210.35739
10,36,217.35838
10,41,221.0913
10,46,225.77681
11,1,110.62886
11,6,115.72776
11,11,123.5255
11,16,128.00517
11,21,134.57049
11,26,140.61909
11,31,146.57019
11,36,152.41907
11,41,156.00516
11,46,163.02579
12,1,104.75508
12,6,109.75363
12,11,110.14143
12,16,111.3054
12,21,115.51692
12,26,116.62795
12,31,119.22279
12,36,119.10357
12,41,120.61482
12,46,121.83463
13,1,94.15428
13,6,104.40161
13,11,112.26398
13,16,121.14346
13,21,130.85996
13,26,139.39283
13,31,146.03732
