id,time,pop,popPred,indivPredMean,indivPredMode
1,58.6293,0.0381821,0.0381821,0.0594574,
1,58.9699,0.0404843,0.0404843,0.0622617,
1,59.0232,0.0408564,0.0408564,0.0627116,
1,59.3125,0.0429336,0.0429336,0.0652063,
1,59.4171,0.0437095,0.0437095,0.0661313,
1,59.6571,0.0455396,0.0455396,0.0682984,
1,59.811,0.0467522,0.0467522,0.0697236,
1,60.0036,0.0483122,0.0483122,0.071545,
1,60.2049,0.0499955,0.0499955,0.0734957,
1,60.2706,0.0505564,0.0505564,0.0741424,
1,60.3522,0.051262,0.051262,0.0749536,
1,60.5989,0.0534513,0.0534513,0.0774549,
1,60.7028,0.0544004,0.0544004,0.0785321,
1,60.9928,0.0571315,0.0571315,0.0816086,
1,61.0555,0.0577389,0.0577389,0.0822883,
1,61.3867,0.0610488,0.0610488,0.0859643,
1,61.4102,0.0612902,0.0612902,0.0862306,
1,61.7669,0.0650673,0.0650673,0.0903676,
1,61.7806,0.0652161,0.0652161,0.0905295,
1,62.1257,0.0690839,0.0690839,0.0947081,
1,62.1745,0.0696468,0.0696468,0.0953119,
1,62.4866,0.0733542,0.0733542,0.0992612,
1,62.5684,0.0743545,0.0743545,0.100319,
1,62.8497,0.0778935,0.0778935,0.104036,
1,62.9623,0.0793534,0.0793534,0.105559,
1,63.2148,0.0827171,0.0827171,0.109043,
1,63.3562,0.0846575,0.0846575,0.111038,
1,63.582,0.0878415,0.0878415,0.11429,
1,63.7501,0.0902814,0.0902814,0.116765,
1,63.9514,0.0932833,0.0932833,0.119789,
1,64.144,0.0962397,0.0962397,0.122746,
1,64.3229,0.0990599,0.0990599,0.125548,
1,64.5379,0.102547,0.102547,0.128989,
1,64.6966,0.105189,0.105189,0.131579,
1,64.9318,0.109217,0.109217,0.1355,
1,65.0724,0.111689,0.111689,0.137891,
1,65.3257,0.116266,0.116266,0.142287,
1,65.4504,0.118578,0.118578,0.144494,
1,65.7196,0.123706,0.123706,0.149354,
1,65.786,0.124999,0.124999,0.150573,
1,65.8307,0.125875,0.125875,0.151398,
1,66.1135,0.131551,0.131551,0.156709,
1,66.2131,0.133599,0.133599,0.158614,
1,66.5074,0.139814,0.139814,0.164355,
1,66.5977,0.141769,0.141769,0.16615,
1,66.9013,0.148508,0.148508,0.172299,
1,66.9846,0.150402,0.150402,0.174017,
1,67.1988,0.155365,0.155365,0.178497,
1,67.2952,0.157643,0.157643,0.180543,
1,67.3738,0.159517,0.159517,0.182223,
1,67.6891,0.167229,0.167229,0.189092,
1,67.7652,0.169132,0.169132,0.190777,
1,68.083,0.177276,0.177276,0.197948,
1,68.1588,0.179263,0.179263,0.199687,
1,68.477,0.187791,0.187791,0.207113,
1,68.5548,0.189924,0.189924,0.20896,
1,68.8709,0.198778,0.198778,0.216587,
1,68.9157,0.200059,0.200059,0.217686,
1,68.953,0.201131,0.201131,0.218603,
1,69.2648,0.210242,0.210242,0.226371,
1,69.3536,0.212894,0.212894,0.228621,
1,69.6587,0.222183,0.222183,0.236464,
1,69.7565,0.225224,0.225224,0.239019,
1,70.0526,0.234602,0.234602,0.246863,
1,70.1618,0.238128,0.238128,0.249799,
1,70.4465,0.247493,0.247493,0.257565,
1,70.5693,0.251611,0.251611,0.260965,
1,70.8404,0.260852,0.260852,0.268566,
1,70.9793,0.265674,0.265674,0.272516,
1,71.2343,0.274669,0.274669,0.279859,
1,71.3917,0.280314,0.280314,0.284451,
1,71.6282,0.288931,0.288931,0.291438,
1,71.8064,0.295526,0.295526,0.296768,
1,72.0221,0.303624,0.303624,0.303295,
1,72.2235,0.311298,0.311298,0.309462,
1,72.416,0.318729,0.318729,0.315419,
1,72.6431,0.327617,0.327617,0.322526,
1,72.8099,0.334225,0.334225,0.327799,
1,73.0651,0.344462,0.344462,0.335952,
1,73.2038,0.350087,0.350087,0.340424,
1,73.2716,0.352852,0.352852,0.342621,
1,73.4896,0.361808,0.361808,0.349729,
1,73.5977,0.366287,0.366287,0.35328,
1,73.9165,0.379626,0.379626,0.363843,
1,73.9916,0.382796,0.382796,0.366351,
1,74.3459,0.397881,0.397881,0.378279,
1,74.3855,0.39958,0.39958,0.379623,
1,74.7778,0.416533,0.416533,0.393021,
1,74.7794,0.416603,0.416603,0.393076,
1,75.1733,0.433827,0.433827,0.406694,
