Id,Time,y,d,b
1,1,2.3142,10.4921,0.08657
1,6,70.47309,10.4921,0.08657
1,11,115.16776,10.4921,0.08657
1,16,164.3847,10.4921,0.08657
1,21,224.15366,10.4921,0.08657
1,26,275.92371,10.4921,0.08657
1,31,334.26304,10.4921,0.08657
1,36,378.07686,10.4921,0.08657
1,41,430.24726,10.4921,0.08657
1,46,481.23501,10.4921,0.08657
2,1,3.89054,10.74339,-2.30579
2,6,57.88824,10.74339,-2.30579
2,11,113.52654,10.74339,-2.30579
2,16,168.26785,10.74339,-2.30579
2,21,216.13798,10.74339,-2.30579
2,26,286.88035,10.74339,-2.30579
2,31,330.86104,10.74339,-2.30579
2,36,381.59728,10.74339,-2.30579
2,41,428.47955,10.74339,-2.30579
2,46,494.08182,10.74339,-2.30579
3,1,0.2932,9.57337,-0.81882
3,6,58.49041,9.57337,-0.81882
3,11,99.83358,9.57337,-0.81882
3,16,150.42705,9.57337,-0.81882
3,21,198.57243,9.57337,-0.81882
3,26,247.1038,9.57337,-0.81882
3,31,290.52344,9.57337,-0.81882
3,36,343.52634,9.57337,-0.81882
3,41,390.54253,9.57337,-0.81882
3,46,436.85769,9.57337,-0.81882
4,1,2.79612,10.1869,-2.38454
4,6,56.32161,10.1869,-2.38454
4,11,107.47829,10.1869,-2.38454
4,16,151.03126,10.1869,-2.38454
4,21,212.69527,10.1869,-2.38454
4,26,260.29708,10.1869,-2.38454
4,31,310.5854,10.1869,-2.38454
4,36,355.68078,10.1869,-2.38454
4,41,408.66177,10.1869,-2.38454
4,46,475.96634,10.1869,-2.38454
5,1,3.6629,9.75847,-1.0025
5,6,53.45092,9.75847,-1.0025
5,11,102.33768,9.75847,-1.0025
5,16,149.95772,9.75847,-1.0025
5,21,195.17004,9.75847,-1.0025
5,26,257.96799,9.75847,-1.0025
5,31,312.03172,9.75847,-1.0025
5,36,353.86182,9.75847,-1.0025
5,41,404.73372,9.75847,-1.0025
5,46,448.55683,9.75847,-1.0025
6,1,8.99124,9.59026,-1.03723
6,6,65.15685,9.59026,-1.03723
6,11,94.89727,9.59026,-1.03723
6,16,146.29635,9.59026,-1.03723
6,21,204.11788,9.59026,-1.03723
6,26,244.23597,9.59026,-1.03723
6,31,300.50206,9.59026,-1.03723
6,36,342.71404,9.59026,-1.03723
6,41,393.43689,9.59026,-1.03723
6,46,441.63713,9.59026,-1.03723
7,1,14.44536,10.86525,1.17528
7,6,78.18726,10.86525,1.17528
7,11,124.54279,10.86525,1.17528
7,16,177.05051,10.86525,1.17528
7,21,228.75043,10.86525,1.17528
7,26,283.94341,10.86525,1.17528
7,31,343.06877,10.86525,1.17528
7,36,386.80169,10.86525,1.17528
7,41,438.73613,10.86525,1.17528
7,46,503.9497,10.86525,1.17528
8,1,9.94992,11.18205,1.96193
8,6,58.60909,11.18205,1.96193
8,11,119.14078,11.18205,1.96193
8,16,185.23504,11.18205,1.96193
8,21,230.34998,11.18205,1.96193
8,26,293.26361,11.18205,1.96193
8,31,344.58153,11.18205,1.96193
8,36,406.57639,11.18205,1.96193
8,41,466.40069,11.18205,1.96193
8,46,521.74129,11.18205,1.96193
9,1,9.9134,8.95549,-0.27762
9,6,54.35498,8.95549,-0.27762
9,11,93.56232,8.95549,-0.27762
9,16,148.58557,8.95549,-0.27762
9,21,185.58533,8.95549,-0.27762
9,26,233.85423,8.95549,-0.27762
9,31,275.08751,8.95549,-0.27762
9,36,316.4505,8.95549,-0.27762
9,41,369.01553,8.95549,-0.27762
9,46,401.97828,8.95549,-0.27762
10,1,10.80489,10.08997,1.49421
10,6,51.23756,10.08997,1.49421
10,11,112.17554,10.08997,1.49421
10,16,162.14364,10.08997,1.49421
10,21,206.19042,10.08997,1.49421
10,26,263.41583,10.08997,1.49421
10,31,312.798,10.08997,1.49421
10,36,371.40568,10.08997,1.49421
10,41,409.66093,10.08997,1.49421
10,46,478.98928,10.08997,1.49421
11,1,8.00406,8.92035,0.68829
11,6,48.57969,8.92035,0.68829
11,11,89.19037,8.92035,0.68829
11,16,141.9665,8.92035,0.68829
11,21,189.74591,8.92035,0.68829
11,26,232.47203,8.92035,0.68829
11,31,280.12107,8.92035,0.68829
11,36,322.87239,8.92035,0.68829
11,41,362.8232,8.92035,0.68829
11,46,413.11514,8.92035,0.68829
12,1,4.09984,9.43693,0.35817
12,6,59.26205,9.43693,0.35817
12,11,103.05756,9.43693,0.35817
12,16,146.51122,9.43693,0.35817
12,21,199.13829,9.43693,0.35817
12,26,241.5924,9.43693,0.35817
12,31,287.47737,9.43693,0.35817
12,36,334.1849,9.43693,0.35817
12,41,387.02823,9.43693,0.35817
12,46,428.00788,9.43693,0.35817
13,1,5.44849,10.22823,-1.2781
13,6,60.00386,10.22823,-1.2781
13,11,113.35336,10.22823,-1.2781
13,16,157.13541,10.22823,-1.2781
13,21,211.98373,10.22823,-1.2781
13,26,262.02485,10.22823,-1.2781
13,31,323.37762,10.22823,-1.2781
13,36,361.3446,10.22823,-1.2781
13,41,411.50643,10.22823,-1.2781
13,46,464.69975,10.22823,-1.2781
14,1,7.32984,9.99126,-0.40066
14,6,55.01109,9.99126,-0.40066
14,11,107.37495,9.99126,-0.40066
14,16,155.24221,9.99126,-0.40066
14,21,206.18287,9.99126,-0.40066
14,26,262.61424,9.99126,-0.40066
14,31,310.42275,9.99126,-0.40066
14,36,361.12464,9.99126,-0.40066
14,41,412.93018,9.99126,-0.40066
14,46,455.66847,9.99126,-0.40066
15,1,5.82144,9.54642,0.0957
15,6,63.83072,9.54642,0.0957
15,11,100.69068,9.54642,0.0957
15,16,153.89916,9.54642,0.0957
15,21,201.64033,9.54642,0.0957
15,26,246.94696,9.54642,0.0957
15,31,286.26309,9.54642,0.0957
15,36,342.40216,9.54642,0.0957
15,41,389.92316,9.54642,0.0957
15,46,449.58454,9.54642,0.0957
16,1,14.42184,10.64565,-0.52827
16,6,61.53727,10.64565,-0.52827
16,11,109.12909,10.64565,-0.52827
16,16,167.36378,10.64565,-0.52827
16,21,222.37161,10.64565,-0.52827
16,26,277.01773,10.64565,-0.52827
16,31,329.84126,10.64565,-0.52827
16,36,392.771,10.64565,-0.52827
16,41,432.3385,10.64565,-0.52827
16,46,490.10611,10.64565,-0.52827
17,1,10.06805,9.81916,2.72179
17,6,70.37562,9.81916,2.72179
17,11,106.91023,9.81916,2.72179
17,16,154.06527,9.81916,2.72179
17,21,213.18809,9.81916,2.72179
17,26,264.96033,9.81916,2.72179
17,31,300.82451,9.81916,2.72179
17,36,354.85541,9.81916,2.72179
17,41,400.43764,9.81916,2.72179
17,46,449.08852,9.81916,2.72179
18,1,10.06366,10.87388,0.01084
18,6,67.75322,10.87388,0.01084
18,11,125.88329,10.87388,0.01084
18,16,166.27027,10.87388,0.01084
18,21,231.86224,10.87388,0.01084
18,26,282.16419,10.87388,0.01084
18,31,334.56082,10.87388,0.01084
18,36,391.1524,10.87388,0.01084
18,41,451.65844,10.87388,0.01084
18,46,496.945,10.87388,0.01084
19,1,10.60258,10.24991,0.67157
19,6,56.26212,10.24991,0.67157
19,11,111.86815,10.24991,0.67157
19,16,172.05951,10.24991,0.67157
19,21,217.70412,10.24991,0.67157
19,26,259.89544,10.24991,0.67157
19,31,318.60961,10.24991,0.67157
19,36,375.5341,10.24991,0.67157
19,41,419.92892,10.24991,0.67157
19,46,465.86664,10.24991,0.67157
20,1,10.88891,9.40911,0.87244
20,6,56.28469,9.40911,0.87244
20,11,100.83099,9.40911,0.87244
20,16,153.45236,9.40911,0.87244
20,21,204.81368,9.40911,0.87244
20,26,252.92043,9.40911,0.87244
20,31,290.67393,9.40911,0.87244
20,36,341.60402,9.40911,0.87244
20,41,383.73861,9.40911,0.87244
20,46,428.45678,9.40911,0.87244
21,1,13.39879,9.89576,1.24294
21,6,60.67687,9.89576,1.24294
21,11,114.81677,9.89576,1.24294
21,16,158.27033,9.89576,1.24294
21,21,216.45407,9.89576,1.24294
21,26,266.7652,9.89576,1.24294
21,31,313.73434,9.89576,1.24294
21,36,357.14076,9.89576,1.24294
21,41,409.91387,9.89576,1.24294
21,46,450.32491,9.89576,1.24294
22,1,10.22388,10.00594,1.90404
22,6,59.91403,10.00594,1.90404
22,11,120.57601,10.00594,1.90404
22,16,162.41422,10.00594,1.90404
22,21,210.57634,10.00594,1.90404
22,26,256.18852,10.00594,1.90404
22,31,303.98112,10.00594,1.90404
22,36,359.73788,10.00594,1.90404
22,41,413.86326,10.00594,1.90404
22,46,450.27606,10.00594,1.90404
23,1,10.06488,9.79744,0.32556
23,6,62.55331,9.79744,0.32556
23,11,104.43182,9.79744,0.32556
23,16,161.37072,9.79744,0.32556
23,21,213.61549,9.79744,0.32556
23,26,257.02592,9.79744,0.32556
23,31,308.43013,9.79744,0.32556
23,36,359.02635,9.79744,0.32556
23,41,399.16711,9.79744,0.32556
23,46,450.82927,9.79744,0.32556
24,1,3.91435,10.34431,0.97675
24,6,64.72918,10.34431,0.97675
24,11,117.64646,10.34431,0.97675
24,16,179.53489,10.34431,0.97675
24,21,221.08306,10.34431,0.97675
24,26,260.88393,10.34431,0.97675
24,31,319.32222,10.34431,0.97675
24,36,375.94281,10.34431,0.97675
24,41,420.29791,10.34431,0.97675
24,46,474.08294,10.34431,0.97675
25,1,5.43373,10.16866,-1.96269
25,6,51.97141,10.16866,-1.96269
25,11,103.60333,10.16866,-1.96269
25,16,165.11882,10.16866,-1.96269
25,21,211.08629,10.16866,-1.96269
25,26,259.76688,10.16866,-1.96269
25,31,311.29309,10.16866,-1.96269
25,36,362.95756,10.16866,-1.96269
25,41,411.8896,10.16866,-1.96269
25,46,475.08976,10.16866,-1.96269
26,1,15.14891,9.29222,-0.1089
26,6,55.33759,9.29222,-0.1089
26,11,99.12603,9.29222,-0.1089
26,16,142.13183,9.29222,-0.1089
26,21,199.56872,9.29222,-0.1089
26,26,241.89278,9.29222,-0.1089
26,31,284.75332,9.29222,-0.1089
26,36,328.42567,9.29222,-0.1089
26,41,382.59479,9.29222,-0.1089
26,46,434.67832,9.29222,-0.1089
27,1,15.0923,9.96932,3.38624
27,6,69.74947,9.96932,3.38624
27,11,122.15279,9.96932,3.38624
27,16,159.68364,9.96932,3.38624
27,21,216.6754,9.96932,3.38624
27,26,262.33992,9.96932,3.38624
27,31,305.79924,9.96932,3.38624
27,36,363.19751,9.96932,3.38624
27,41,418.08168,9.96932,3.38624
27,46,453.47845,9.96932,3.38624
28,1,9.41896,10.65473,1.6947
28,6,63.91746,10.65473,1.6947
28,11,125.07159,10.65473,1.6947
28,16,175.94016,10.65473,1.6947
28,21,222.12608,10.65473,1.6947
28,26,270.2306,10.65473,1.6947
28,31,344.65592,10.65473,1.6947
28,36,382.31473,10.65473,1.6947
28,41,443.42489,10.65473,1.6947
28,46,494.71204,10.65473,1.6947
29,1,10.84498,9.82944,-0.17219
29,6,68.22091,9.82944,-0.17219
29,11,104.1835,9.82944,-0.17219
29,16,146.94823,9.82944,-0.17219
29,21,208.11901,9.82944,-0.17219
29,26,257.78974,9.82944,-0.17219
29,31,304.31072,9.82944,-0.17219
29,36,346.9975,9.82944,-0.17219
29,41,410.20343,9.82944,-0.17219
29,46,449.77432,9.82944,-0.17219
30,1,8.92179,10.94165,1.47509
30,6,65.84845,10.94165,1.47509
30,11,116.93101,10.94165,1.47509
30,16,179.10859,10.94165,1.47509
30,21,238.4014,10.94165,1.47509
30,26,285.91245,10.94165,1.47509
30,31,342.07753,10.94165,1.47509
30,36,392.97449,10.94165,1.47509
30,41,447.65218,10.94165,1.47509
30,46,501.54928,10.94165,1.47509
31,1,11.40516,9.87235,-0.39798
31,6,65.43183,9.87235,-0.39798
31,11,112.77469,9.87235,-0.39798
31,16,153.4481,9.87235,-0.39798
31,21,195.88544,9.87235,-0.39798
31,26,250.94832,9.87235,-0.39798
31,31,302.67972,9.87235,-0.39798
31,36,356.75495,9.87235,-0.39798
31,41,404.88124,9.87235,-0.39798
31,46,450.47742,9.87235,-0.39798
32,1,9.63522,10.65957,1.77232
32,6,61.30513,10.65957,1.77232
32,11,127.15332,10.65957,1.77232
32,16,166.48168,10.65957,1.77232
32,21,219.10037,10.65957,1.77232
32,26,279.31043,10.65957,1.77232
32,31,330.99848,10.65957,1.77232
32,36,384.73059,10.65957,1.77232
32,41,438.69907,10.65957,1.77232
32,46,489.25653,10.65957,1.77232
33,1,8.70126,9.55754,-0.11867
33,6,45.78656,9.55754,-0.11867
33,11,101.67981,9.55754,-0.11867
33,16,148.72549,9.55754,-0.11867
33,21,193.76434,9.55754,-0.11867
33,26,245.2091,9.55754,-0.11867
33,31,292.40747,9.55754,-0.11867
33,36,347.24387,9.55754,-0.11867
33,41,398.62816,9.55754,-0.11867
33,46,441.29978,9.55754,-0.11867
34,1,5.38976,8.856,0.70495
34,6,48.56873,8.856,0.70495
34,11,99.46955,8.856,0.70495
34,16,143.44298,8.856,0.70495
34,21,192.01678,8.856,0.70495
34,26,237.28985,8.856,0.70495
34,31,272.93159,8.856,0.70495
34,36,317.10218,8.856,0.70495
34,41,363.47302,8.856,0.70495
34,46,411.85055,8.856,0.70495
35,1,9.57344,9.47278,-0.66848
35,6,55.21458,9.47278,-0.66848
35,11,103.63971,9.47278,-0.66848
35,16,147.36852,9.47278,-0.66848
35,21,202.2934,9.47278,-0.66848
35,26,240.80748,9.47278,-0.66848
35,31,291.43863,9.47278,-0.66848
35,36,334.5238,9.47278,-0.66848
35,41,378.68121,9.47278,-0.66848
35,46,434.73164,9.47278,-0.66848
36,1,12.76679,9.90464,1.30765
36,6,69.47578,9.90464,1.30765
36,11,105.37894,9.90464,1.30765
36,16,152.4767,9.90464,1.30765
36,21,209.25084,9.90464,1.30765
36,26,254.87887,9.90464,1.30765
36,31,316.68395,9.90464,1.30765
36,36,356.07451,9.90464,1.30765
36,41,414.2083,9.90464,1.30765
36,46,448.10804,9.90464,1.30765
37,1,11.08116,10.87403,1.6218
37,6,56.58293,10.87403,1.6218
37,11,122.07461,10.87403,1.6218
37,16,173.00234,10.87403,1.6218
37,21,238.58849,10.87403,1.6218
37,26,281.85908,10.87403,1.6218
37,31,336.90541,10.87403,1.6218
37,36,391.46306,10.87403,1.6218
37,41,449.03359,10.87403,1.6218
37,46,508.47811,10.87403,1.6218
38,1,13.98577,8.9717,0.43413
38,6,66.48979,8.9717,0.43413
38,11,109.69355,8.9717,0.43413
38,16,148.54823,8.9717,0.43413
38,21,180.70819,8.9717,0.43413
38,26,230.82218,8.9717,0.43413
38,31,281.82739,8.9717,0.43413
38,36,325.07045,8.9717,0.43413
38,41,373.2439,8.9717,0.43413
38,46,405.65314,8.9717,0.43413
39,1,16.17097,11.22255,2.83198
39,6,58.99693,11.22255,2.83198
39,11,127.06073,11.22255,2.83198
39,16,186.83229,11.22255,2.83198
39,21,236.93821,11.22255,2.83198
39,26,294.17712,11.22255,2.83198
39,31,346.80948,11.22255,2.83198
39,36,406.32999,11.22255,2.83198
