id,time,y,amount
1,1,2.30718,1
1,6,8.61738,1
1,11,16.6003,1
1,16,23.49783,1
1,21,29.41538,1
1,26,38.06559,1
1,31,37.24743,1
1,36,51.73681,1
1,41,55.82365,1
1,46,53.55755,1
2,1,2.30748,1
2,6,10.52272,1
2,11,19.50716,1
2,16,25.98544,1
2,21,37.25238,1
2,26,40.16522,1
2,31,46.48293,1
2,36,60.81451,1
2,41,61.69651,1
2,46,75.06334,1
3,1,2.25279,1
3,6,11.98954,1
3,11,15.75587,1
3,16,29.45508,1
3,21,30.02274,1
3,26,47.05255,1
3,31,59.29761,1
3,36,58.98798,1
3,41,75.10409,1
3,46,80.02446,1
4,1,3.28512,1
4,6,14.38862,1
4,11,21.96869,1
4,16,32.09406,1
4,21,41.68417,1
4,26,58.43572,1
4,31,49.22081,1
4,36,83.26882,1
4,41,84.44813,1
4,46,107.45829,1
5,1,3.19461,1
5,6,13.19276,1
5,11,26.12305,1
5,16,34.86728,1
5,21,54.56093,1
5,26,54.37961,1
5,31,56.58408,1
5,36,74.56806,1
5,41,95.86797,1
5,46,100.32521,1
6,1,2.41949,1
6,6,8.31937,1
6,11,11.73788,1
6,16,18.54214,1
6,21,26.67957,1
6,26,34.04746,1
6,31,37.84187,1
6,36,37.86263,1
6,41,46.72242,1
6,46,52.76665,1
7,1,2.60134,1
7,6,10.90523,1
7,11,15.86927,1
7,16,29.6666,1
7,21,39.12858,1
7,26,49.1133,1
7,31,62.78825,1
7,36,66.07041,1
7,41,61.50044,1
7,46,77.08973,1
8,1,2.18698,1
8,6,7.64715,1
8,11,15.95254,1
8,16,24.09592,1
8,21,23.5871,1
8,26,30.65733,1
8,31,42.49609,1
8,36,50.11758,1
8,41,53.82664,1
8,46,62.15724,1
9,1,1.76741,1
9,6,5.68354,1
9,11,10.99922,1
9,16,12.93746,1
9,21,19.09259,1
9,26,24.8321,1
9,31,25.74511,1
9,36,29.63933,1
9,41,42.16034,1
9,46,41.09739,1
10,1,2.04547,1
10,6,8.12937,1
10,11,13.49459,1
10,16,21.61776,1
10,21,28.60655,1
10,26,31.23891,1
10,31,44.24268,1
10,36,41.66798,1
10,41,45.33902,1
10,46,58.02259,1
